campaign_id,broadcast_date,air_state,channel,spots,seconds,rating_points_planned,spend_ils,spots_dropped_by_rule,dropped_rule_id,figures_basis,source_file,counted_as_of,counted_as_of_basis,is_demo,note
CMP_D004,2025-04-27,aired,רשת 13,1,10,4.4000,2640.00,0,,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D004,2025-04-27,scheduled,רשת 13,1,10,2.6000,1560.00,0,,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D004,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D004,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D004,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D004,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D004,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D004,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D005,2025-04-27,aired,רשת 13,2,83,11.1000,27576.00,0,,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D005,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D005,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D005,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D005,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D005,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D005,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D006,2025-04-27,aired,רשת 13,2,12,8.2000,1404.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D006,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D006,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D006,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D006,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D006,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D006,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D007,2025-04-27,aired,רשת 13,1,6,5.2000,0.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D007,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D007,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D007,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D007,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D007,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D007,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D008,2025-04-27,aired,רשת 13,2,30,7.8000,3510.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D008,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D008,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D008,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D008,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D008,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D008,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D009,2025-04-27,aired,רשת 13,1,32,5.4000,10368.00,0,,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D009,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D009,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D009,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D009,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D009,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D009,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D010,2025-04-27,aired,רשת 13,5,75,25.8000,15354.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D010,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D010,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D010,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D010,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D010,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D010,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D011,2025-04-27,scheduled,רשת 13,2,12,5.2000,936.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D011,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D011,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D011,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D011,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D011,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D011,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D012,2025-04-27,aired,רשת 13,2,47,10.8000,16248.00,0,,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D012,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D012,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D012,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D012,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D012,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D012,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D013,2025-04-27,aired,רשת 13,10,92,50.1000,3888.00,8,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D013,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D013,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D013,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D013,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D013,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D013,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D014,2025-04-27,scheduled,רשת 13,3,37,7.8000,3900.00,2,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D014,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D014,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D014,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D014,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D014,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D014,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D015,2025-04-27,aired,רשת 13,2,12,11.6000,2304.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D015,2025-04-27,scheduled,רשת 13,2,12,5.2000,936.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D015,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D015,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D015,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
